file	mll
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684309
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681749
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p005__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684271
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681592
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p01__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.684203
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.680297
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p005__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p05__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.683768
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p001__04_BGI4.mll.out	-8.678740
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p01__04_BGI4.mll.out	-8.681494
stages_bg_stages_merged_min2_BGI1_BGI2_BGI3_BGI4__ps-0p01__bias-0p1__cb-0p1__nbm-lhs-parsed__nbe-0p001__nbmin-0p1__lex-from-prev__ls-0p0__04_BGI4.mll.out	-8.683471
